avg_travel_time,GEOID
26.8,06037464102
35.87,06037464200
34.61,06037480002
27.9,06037480011
34.21,06037480012
29.71,06037480101
35.41,06037480102
36.87,06037480201
30.23,06037480202
33.8,06037480302
35.61,06037480303
30.48,06037480304
34.7,06037480400
30.01,06037480500
33.98,06037480601
35.32,06037480602
34.75,06037480702
31.29,06037480703
33.54,06037480704
29.85,06037480802
35.08,06037480803
32.44,06037480804
30.46,06037480901
36.34,06037480902
31.24,06037480903
29.46,06037481001
28.41,06037481002
35.77,06037481101
29.76,06037481102
34.68,06037481103
36.69,06037481201
35.19,06037481203
35.39,06037481300
29.1,06037481401
27.95,06037481403
34.49,06037481404
42.15,06037481500
33.09,06037481603
38.83,06037481604
35.94,06037481605
30.04,06037481606
33.53,06037481711
