co2_metric_tons_per_household,GEOID
4.064,06037461100
4.291,06037461200
3.902,06037461300
2.92,06037461400
3.727,06037461501
3.4,06037461502
3.497,06037461600
3.325,06037461901
2.043,06037461902
3.382,06037462001
3.276,06037462002
3.569,06037462100
1.896,06037462201
3.034,06037462202
3.131,06037462301
3.39,06037462302
3.712,06037462400
3.844,06037462500
4.071,06037462600
3.865,06037462700
3.382,06037462800
4.485,06037462900
4.104,06037463101
4.202,06037463102
3.346,06037463200
3.889,06037463300
3.447,06037463400
2.842,06037463500
2.855,06037463601
2.824,06037463602
3.507,06037463700
4.506,06037463800
3.153,06037463900
3.783,06037464000
4.193,06037464200
4.028,06037480002
3.692,06037480011
4.181,06037480012
3.884,06037480101
3.816,06037480102
4.226,06037480201
4.139,06037480202
3.599,06037480302
3.461,06037480303
2.786,06037480304
3.423,06037480400
4.009,06037480500
3.351,06037480600
3.97,06037480702
4.277,06037480703
3.717,06037480704
3.837,06037480802
3.908,06037480803
3.676,06037480804
3.795,06037480901
3.754,06037480902
3.43,06037480903
2.887,06037481001
3.732,06037481002
3.684,06037481101
3.623,06037481102
3.931,06037481103
3.754,06037481201
3.743,06037481202
4.151,06037481300
3.892,06037481401
3.631,06037481402
3.053,06037481500
3.895,06037481603
3.578,06037481604
3.455,06037481605
3.786,06037481606
3.225,06037481711
3.547,06037481712
3.464,06037481713
2.843,06037481714
3.848,06037481800
3.869,06037481901
3.54,06037481902
3.765,06037482002
3.657,06037482101
4.051,06037482102
3.122,06037482201
3.662,06037482202
4.028,06037482301
3.752,06037482303
3.443,06037482304
4.135,06037482401
4.009,06037482402
3.865,06037482502
3.796,06037482503
3.645,06037482521
3.846,06037482522
3.485,06037482600
4.153,06037482701
3.669,06037482702
3.76,06037482800
3.812,06037500402
3.996,06037500403
4.334,06037500404
3.48,06037500500
3.931,06037500600
4.07,06037500700
3.847,06037500800
3.773,06037500900
4.326,06037501001
4.5,06037501002
4.257,06037501200
4.054,06037501300
3.83,06037501400
3.615,06037501503
2.686,06037501504
3.984,06037501700
3.919,06037501802
3.214,06037501803
2.978,06037501804
4.458,06037501900
4.143,06037502003
4.22,06037502004
4.079,06037502005
3.576,06037502100
3.871,06037502200
4.182,06037502301
3.633,06037502302
4.17,06037502401
4.409,06037502402
4.347,06037502601
3.675,06037502602
4.485,06037502801
4.461,06037502901
4.175,06037503000
4.663,06037503103
4.395,06037503104
4.225,06037503105
3.507,06037503106
4.19,06037503201
3.824,06037503202
4.32,06037503301
4.235,06037503302
4.076,06037503401
4.228,06037503402
3.971,06037503501
4.295,06037503502
4.301,06037503601
4.051,06037503701
3.865,06037503702
3.527,06037503703
4.461,06037503801
4.074,06037503802
4.438,06037503901
3.542,06037504001
4.284,06037504002
3.801,06037504101
3.861,06037530004
3.305,06037530005
3.175,06037530006
2.829,06037530101
3.128,06037530102
4.204,06037530202
3.128,06037530203
3.902,06037530204
3.25,06037530301
3.596,06037530302
2.448,06037530400
3.31,06037530500
3.802,06037530601
3.984,06037530602
3.553,06037530700
3.56,06037530801
3.914,06037530802
3.775,06037530901
3.153,06037530902
3.738,06037531000
3.291,06037531101
3.391,06037531102
3.659,06037531201
3.556,06037531202
3.651,06037531301
3.641,06037531302
3.737,06037531502
3.396,06037531503
3.506,06037531504
3.155,06037531602
3.646,06037531603
3.353,06037531604
3.52,06037531701
3.322,06037531702
4.003,06037531800
3.659,06037531901
3.812,06037531902
2.634,06037532001
3.348,06037532002
3.747,06037532101
3.829,06037532102
3.809,06037532200
4.156,06037532302
3.887,06037532500
3.606,06037532603
3.403,06037532604
2.895,06037532605
3.283,06037532606
4.096,06037532700
3.603,06037532800
3.424,06037532900
3.532,06037533001
3.72,06037533002
3.007,06037533103
2.554,06037533104
3.005,06037533105
3.624,06037533106
3.624,06037533107
3.509,06037533201
4.107,06037533202
3.642,06037533203
3.625,06037533300
4.129,06037533401
3.629,06037533402
3.298,06037533403
3.976,06037533501
3.758,06037533502
3.577,06037533503
3.848,06037533601
3.755,06037533602
3.514,06037533603
3.431,06037533701
4.052,06037533702
3.844,06037533703
3.958,06037533803
3.768,06037533804
4.138,06037533805
3.999,06037533806
4.23,06037533901
4.169,06037533902
3.975,06037534001
4.103,06037534002
4.2,06037534101
3.928,06037534102
4.086,06037534201
3.774,06037534202
3.869,06037534203
3.796,06037534301
4.21,06037534302
